Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
170,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,22-348,2001.0,4.8,280.0,312.0,89.7,4843.0,947.0,125.0,137.0,91.2,115.0,123.0,93.5,30.0,38.0,78.9,2,0.6,0.2,1.4,5.0,17.0,0.0,0.0,19.0,Matches
171,Abdellah Baallal,ma MAR,MF,Clermont Foot,fr Ligue 1,19-186,2004.0,0.0,3.0,4.0,75.0,40.0,0.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
172,Iddrisu Baba,gh GHA,MF,Almería,es La Liga,28-110,1996.0,15.9,543.0,654.0,83.0,10011.0,2718.0,207.0,245.0,84.5,272.0,308.0,88.3,52.0,67.0,77.6,0,0.6,0.4,-0.6,6.0,51.0,3.0,2.0,60.0,Matches
173,Srđan Babić,rs SRB,DF,Almería,es La Liga,28-019,1996.0,1.0,58.0,62.0,93.5,1267.0,388.0,13.0,13.0,100.0,37.0,41.0,90.2,8.0,8.0,100.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,Matches
174,Shavy Babicka,ga GAB,"FW,MF",Toulouse,fr Ligue 1,23-345,2000.0,4.1,76.0,125.0,60.8,1180.0,236.0,40.0,56.0,71.4,27.0,45.0,60.0,5.0,6.0,83.3,0,0.1,0.4,-0.1,2.0,3.0,7.0,3.0,8.0,Matches
175,Aliou Badara Baldé,sn SEN,"FW,DF",Nice,fr Ligue 1,21-151,2002.0,0.7,12.0,23.0,52.2,144.0,28.0,10.0,14.0,71.4,1.0,5.0,20.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Matches
176,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24-030,2000.0,22.4,974.0,1177.0,82.8,18937.0,7269.0,326.0,356.0,91.6,542.0,611.0,88.7,96.0,180.0,53.3,1,0.4,0.4,0.6,8.0,72.0,1.0,0.0,69.0,Matches
177,Milan Badelj,hr CRO,MF,Genoa,it Serie A,35-076,1989.0,26.3,1065.0,1316.0,80.9,18285.0,6454.0,471.0,540.0,87.2,447.0,514.0,87.0,103.0,177.0,58.2,3,1.1,1.4,1.9,18.0,130.0,23.0,4.0,142.0,Matches
178,Matthias Bader,de GER,"DF,MF",Darmstadt 98,de Bundesliga,26-329,1997.0,19.0,663.0,876.0,75.7,12120.0,3956.0,267.0,308.0,86.7,321.0,383.0,83.8,65.0,131.0,49.6,2,2.2,3.4,-0.2,17.0,38.0,21.0,6.0,66.0,Matches
179,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23-046,2001.0,12.2,917.0,1008.0,91.0,15990.0,6160.0,389.0,409.0,95.1,460.0,496.0,92.7,59.0,84.0,70.2,1,1.5,0.9,-0.5,5.0,44.0,3.0,0.0,42.0,Matches
180,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,22-296,2001.0,26.0,806.0,1127.0,71.5,15350.0,5289.0,354.0,414.0,85.5,314.0,421.0,74.6,120.0,221.0,54.3,12,7.3,8.5,4.7,74.0,89.0,50.0,13.0,146.0,Matches
181,Jaime Báez,uy URU,"FW,MF",Frosinone,it Serie A,29-016,1995.0,5.5,140.0,200.0,70.0,2282.0,913.0,68.0,87.0,78.2,49.0,62.0,79.0,16.0,33.0,48.5,0,0.5,0.8,-0.5,8.0,12.0,9.0,0.0,29.0,Matches
182,Leon Bailey,jm JAM,"MF,FW",Aston Villa,eng Premier League,26-276,1997.0,22.0,557.0,768.0,72.5,8789.0,2462.0,316.0,379.0,83.4,179.0,236.0,75.8,48.0,82.0,58.5,9,7.9,6.3,1.1,49.0,35.0,48.0,7.0,78.0,Matches
183,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30-029,1994.0,6.3,214.0,247.0,86.6,3936.0,1636.0,72.0,80.0,90.0,123.0,134.0,91.8,16.0,25.0,64.0,0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,11.0,Matches
184,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,19-202,2004.0,0.3,7.0,10.0,70.0,101.0,44.0,3.0,3.0,100.0,4.0,6.0,66.7,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
185,Nedim Bajrami,al ALB,"MF,FW",Sassuolo,it Serie A,25-073,1999.0,14.3,328.0,452.0,72.6,5280.0,1507.0,154.0,185.0,83.2,133.0,170.0,78.2,24.0,60.0,40.0,2,2.2,1.6,-0.2,22.0,16.0,15.0,2.0,49.0,Matches
186,Cédric Bakambu,cd COD,FW,Betis,es La Liga,33-030,1991.0,2.2,26.0,39.0,66.7,277.0,58.0,14.0,20.0,70.0,7.0,12.0,58.3,0.0,0.0,,0,0.3,0.4,-0.3,3.0,1.0,0.0,0.0,4.0,Matches
187,Tiemoué Bakayoko,fr FRA,MF,Lorient,fr Ligue 1,29-268,1994.0,13.9,529.0,614.0,86.2,8871.0,2476.0,241.0,271.0,88.9,231.0,261.0,88.5,40.0,47.0,85.1,1,0.5,0.3,0.5,3.0,52.0,1.0,0.0,51.0,Matches
